Table,DMStat,DMRisk,DMBMI,DMAge,F_RIDRETH3,RIDRETH3,F_RIAGENDR,RIAGENDR,Frequency,WgtFreq,StdDev,Percent,StdErr,_SkipLine
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Black,NonHispanic Black,Female,Female,17,342955,67894,9.7062,2.2049,
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Black,NonHispanic Black,Total,,33,560602,118690,15.8659,3.2958,1
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Asian,NonHispanic Asian,Male,Male,1,28123,28123,0.7959,0.7455,-
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Asian,NonHispanic Asian,Female,Female,2,37206,26824,1.0530,0.7690,
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Asian,NonHispanic Asian,Total,,3,65329,38864,1.8489,1.0275,1
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,1,32906,32906,0.9313,0.9947,-
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,3,65448,38274,1.8523,1.1151,
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,4,98354,28066,2.7836,1.0493,1
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Total,,Male,Male,62,1924845,359449,54.4762,8.2022,-
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Total,,Female,Female,56,1608525,387945,45.5238,8.2022,
Table 5 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,60-64,Total,,Total,,118,3533370,478636,100.0000,_,1
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Mexican American,Mexican American,Male,Male,18,173159,63596,4.4280,1.6704,
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Mexican American,Mexican American,Female,Female,12,123278,78421,3.1525,2.1186,
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Mexican American,Mexican American,Total,,30,296438,132853,7.5805,3.5935,1
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Other Hispanic,Other Hispanic,Male,Male,11,95509,36393,2.4423,0.8772,-
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Other Hispanic,Other Hispanic,Female,Female,13,112995,15412,2.8895,0.5829,
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Other Hispanic,Other Hispanic,Total,,24,208504,46835,5.3318,1.2505,1
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic White,NonHispanic White,Male,Male,19,1681309,425190,42.9942,6.0028,-
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic White,NonHispanic White,Female,Female,12,1033287,360933,26.4231,6.9621,
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic White,NonHispanic White,Total,,31,2714596,645352,69.4173,6.5717,1
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic Black,NonHispanic Black,Male,Male,19,249267,73599,6.3742,2.0558,-
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic Black,NonHispanic Black,Female,Female,11,207919,81342,5.3169,2.4115,
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic Black,NonHispanic Black,Total,,30,457187,134647,11.6911,4.0476,1
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic Asian,NonHispanic Asian,Male,Male,2,44926,31804,1.1489,0.8178,-
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic Asian,NonHispanic Asian,Female,Female,3,58927,44290,1.5069,1.1318,
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,NonHispanic Asian,NonHispanic Asian,Total,,5,103854,61479,2.6557,1.5765,1
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,1,13778,13778,0.3523,0.3664,-
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,3,116193,72438,2.9713,1.9027,
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,4,129971,73737,3.3236,1.9652,1
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Total,,Male,Male,70,2257949,446548,57.7400,5.2775,-
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Total,,Female,Female,54,1652599,310765,42.2600,5.2775,
Table 6 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,At risk,Obese,65-70,Total,,Total,,124,3910549,631920,100.0000,_,1
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Mexican American,Mexican American,Male,Male,18,187157,66075,3.6031,1.1834,
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Mexican American,Mexican American,Female,Female,16,200378,77285,3.8576,1.3880,
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Mexican American,Mexican American,Total,,34,387535,135933,7.4608,2.4170,1
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Hispanic,Other Hispanic,Male,Male,7,65137,31698,1.2540,0.5971,-
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Hispanic,Other Hispanic,Female,Female,10,113460,39866,2.1843,0.7920,
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Hispanic,Other Hispanic,Total,,17,178597,56401,3.4383,1.0934,1
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic White,NonHispanic White,Male,Male,53,2260421,346314,43.5172,6.0037,-
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic White,NonHispanic White,Female,Female,24,1443593,327577,27.7918,5.4918,
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic White,NonHispanic White,Total,,77,3704014,401460,71.3090,4.6149,1
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Black,NonHispanic Black,Male,Male,10,148351,59858,2.8560,1.2077,-
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Black,NonHispanic Black,Female,Female,17,343822,117874,6.6192,2.2146,
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Black,NonHispanic Black,Total,,27,492173,154123,9.4752,2.9810,1
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Asian,NonHispanic Asian,Male,Male,4,69262,34802,1.3334,0.6511,-
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Asian,NonHispanic Asian,Female,Female,9,191480,101919,3.6863,1.8067,
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Asian,NonHispanic Asian,Total,,13,260742,123124,5.0198,2.1742,1
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,4,153579,85815,2.9567,1.6275,-
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,17677,17677,0.3403,0.3451,
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,5,171256,87616,3.2970,1.6694,1
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Total,,Male,Male,96,2883906,361411,55.5204,5.7979,-
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Total,,Female,Female,77,2310411,401755,44.4796,5.7979,
Table 7 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Obese,Over 70,Total,,Total,,173,5194317,480494,100.0000,_,1
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Mexican American,Mexican American,Male,Male,3,31371,18221,4.3808,2.5430,
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Mexican American,Mexican American,Female,Female,1,15570,15570,2.1743,2.3381,
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Mexican American,Mexican American,Total,,4,46941,23967,6.5551,3.6633,1
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Other Hispanic,Other Hispanic,Male,Male,1,7125,7125,0.9949,1.0301,-
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Other Hispanic,Other Hispanic,Female,Female,1,12499,12499,1.7454,1.7409,
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,Other Hispanic,Other Hispanic,Total,,2,19623,14387,2.7403,2.0513,1
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic White,NonHispanic White,Male,Male,7,270560,116525,37.7824,13.6742,-
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic White,NonHispanic White,Female,Female,3,150465,87388,21.0117,11.2149,
Table 8 of RIDRETH3 * RIAGENDR,Diagnosed Diabetes,Not at risk,Overwweight,Over 70,NonHispanic White,NonHispanic White,Total,,10,421024,115729,58.7941,8.6796,1
