Status,Risk,BMI,Age,Race,Sex,N,Population,Percent
Diagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,Male,6,153375,7.1578
Diagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,Female,6,114805,5.3578
Diagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,,12,268180,12.5156
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,Male,9,573766,26.7769
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,Female,6,428442,19.9948
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,,15,1002208,46.7717
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,Male,7,154902,7.2291
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,Female,8,166699,7.7796
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,,15,321601,15.0087
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,Male,4,70527,3.2914
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,Female,0,,
Diagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,,4,70527,3.2914
Diagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Male,2,176351,8.23
Diagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Female,0,,
Diagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,,2,176351,8.23
Diagnosed Diabetes,At risk,Obese,50-54,,Male,34,1273092,59.4135
Diagnosed Diabetes,At risk,Obese,50-54,,Female,28,869674,40.5865
Diagnosed Diabetes,At risk,Obese,50-54,,,62,2142766,100
Diagnosed Diabetes,At risk,Obese,55-59,Mexican American,Male,7,153201,5.2176
Diagnosed Diabetes,At risk,Obese,55-59,Mexican American,Female,7,138999,4.7339
Diagnosed Diabetes,At risk,Obese,55-59,Mexican American,,14,292200,9.9514
Diagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,Male,5,109058,3.7142
Diagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,Female,8,122962,4.1877
Diagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,,13,232020,7.9019
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,Male,12,841895,28.6723
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,Female,7,824731,28.0878
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,,19,1666627,56.7601
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,Male,11,263775,8.9833
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,Female,7,170470,5.8057
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,,18,434245,14.789
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,Male,2,36774,1.2524
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,Female,1,18703,0.637
Diagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,,3,55476,1.8893
Diagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Male,2,197426,6.7237
Diagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Female,1,58271,1.9845
Diagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,,3,255697,8.7082
Diagnosed Diabetes,At risk,Obese,55-59,,Male,39,1602129,54.5635
Diagnosed Diabetes,At risk,Obese,55-59,,Female,31,1334137,45.4365
Diagnosed Diabetes,At risk,Obese,55-59,,,70,2936266,100
Diagnosed Diabetes,At risk,Obese,60-64,Mexican American,Male,22,207482,5.935
Diagnosed Diabetes,At risk,Obese,60-64,Mexican American,Female,13,114131,3.2647
Diagnosed Diabetes,At risk,Obese,60-64,Mexican American,,35,321613,9.1997
Diagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,Male,9,76773,2.1961
Diagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,Female,11,93556,2.6761
Diagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,,20,170329,4.8722
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,Male,13,1361915,38.9575
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,Female,10,955229,27.3243
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,,23,2317144,66.2817
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Black,Male,15,202480,5.7919
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Black,Female,17,342955,9.8102
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Black,,32,545435,15.6021
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Asian,Male,1,28123,0.8044
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Asian,Female,1,14902,0.4263
Diagnosed Diabetes,At risk,Obese,60-64,NonHispanic Asian,,2,43025,1.2307
Diagnosed Diabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Male,1,32906,0.9413
Diagnosed Diabetes,At risk,Obese,60-64,Other Race Including Multi Racial,Female,3,65448,1.8721
Diagnosed Diabetes,At risk,Obese,60-64,Other Race Including Multi Racial,,4,98354,2.8134
Diagnosed Diabetes,At risk,Obese,60-64,,Male,61,1909679,54.6262
Diagnosed Diabetes,At risk,Obese,60-64,,Female,55,1586221,45.3738
Diagnosed Diabetes,At risk,Obese,60-64,,,116,3495900,100
Diagnosed Diabetes,Not at risk,Obese,65-70,Mexican American,Male,18,173159,4.4671
Diagnosed Diabetes,Not at risk,Obese,65-70,Mexican American,Female,11,112546,2.9034
Diagnosed Diabetes,Not at risk,Obese,65-70,Mexican American,,29,285705,7.3706
Diagnosed Diabetes,Not at risk,Obese,65-70,Other Hispanic,Male,11,95509,2.4639
Diagnosed Diabetes,Not at risk,Obese,65-70,Other Hispanic,Female,13,112995,2.915
Diagnosed Diabetes,Not at risk,Obese,65-70,Other Hispanic,,24,208504,5.379
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic White,Male,19,1681309,43.3742
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic White,Female,12,1033287,26.6566
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic White,,31,2714596,70.0308
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic Black,Male,19,249267,6.4306
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic Black,Female,11,207919,5.3639
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic Black,,30,457187,11.7945
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic Asian,Male,1,21398,0.552
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic Asian,Female,3,58927,1.5202
Diagnosed Diabetes,Not at risk,Obese,65-70,NonHispanic Asian,,4,80325,2.0722
Diagnosed Diabetes,Not at risk,Obese,65-70,Other Race Including Multi Racial,Male,1,13778,0.3555
Diagnosed Diabetes,Not at risk,Obese,65-70,Other Race Including Multi Racial,Female,3,116193,2.9975
Diagnosed Diabetes,Not at risk,Obese,65-70,Other Race Including Multi Racial,,4,129971,3.353
Diagnosed Diabetes,Not at risk,Obese,65-70,,Male,69,2234421,57.6433
Diagnosed Diabetes,Not at risk,Obese,65-70,,Female,53,1641867,42.3567
Diagnosed Diabetes,Not at risk,Obese,65-70,,,122,3876287,100
Diagnosed Diabetes,Not at risk,Obese,Over 70,Mexican American,Male,18,187157,3.6031
Diagnosed Diabetes,Not at risk,Obese,Over 70,Mexican American,Female,16,200378,3.8576
Diagnosed Diabetes,Not at risk,Obese,Over 70,Mexican American,,34,387535,7.4608
Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Hispanic,Male,7,65137,1.254
Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Hispanic,Female,10,113460,2.1843
Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Hispanic,,17,178597,3.4383
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic White,Male,53,2260421,43.5172
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic White,Female,24,1443593,27.7918
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic White,,77,3704014,71.309
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Black,Male,10,148351,2.856
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Black,Female,17,343822,6.6192
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Black,,27,492173,9.4752
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Asian,Male,4,69262,1.3334
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Asian,Female,9,191480,3.6863
Diagnosed Diabetes,Not at risk,Obese,Over 70,NonHispanic Asian,,13,260742,5.0198
Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Male,4,153579,2.9567
Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Female,1,17677,0.3403
Diagnosed Diabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,,5,171256,3.297
Diagnosed Diabetes,Not at risk,Obese,Over 70,,Male,96,2883906,55.5204
Diagnosed Diabetes,Not at risk,Obese,Over 70,,Female,77,2310411,44.4796
Diagnosed Diabetes,Not at risk,Obese,Over 70,,,173,5194317,100
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Mexican American,Male,2,70296,56.8985
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Mexican American,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Mexican American,,2,70296,56.8985
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Other Hispanic,Male,1,18535,15.0025
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Other Hispanic,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Other Hispanic,,1,18535,15.0025
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic White,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic White,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic White,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic Black,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic Black,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic Black,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic Asian,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic Asian,Female,2,34715,28.099
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,NonHispanic Asian,,2,34715,28.099
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Other Race Including Multi Racial,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Other Race Including Multi Racial,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,Other Race Including Multi Racial,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,,Male,3,88831,71.901
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,,Female,2,34715,28.099
Diagnosed Diabetes,Not at risk,Overwweight,Under 40,,,5,123546,100
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Mexican American,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Mexican American,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Mexican American,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Other Hispanic,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Other Hispanic,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Other Hispanic,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic White,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic White,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic White,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic Black,Male,1,17830,35.8038
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic Black,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic Black,,1,17830,35.8038
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic Asian,Male,2,31969,64.1962
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic Asian,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,NonHispanic Asian,,2,31969,64.1962
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Other Race Including Multi Racial,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Other Race Including Multi Racial,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,Other Race Including Multi Racial,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,,Male,3,49800,100
Diagnosed Diabetes,Not at risk,Overwweight,40-44,,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,40-44,,,3,49800,100
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Mexican American,Male,1,24610,42.2546
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Mexican American,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Mexican American,,1,24610,42.2546
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Other Hispanic,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Other Hispanic,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Other Hispanic,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic White,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic White,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic White,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic Black,Male,1,16743,28.7483
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic Black,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic Black,,1,16743,28.7483
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic Asian,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic Asian,Female,1,16888,28.9971
Diagnosed Diabetes,Not at risk,Overwweight,45-49,NonHispanic Asian,,1,16888,28.9971
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Other Race Including Multi Racial,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Other Race Including Multi Racial,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,Other Race Including Multi Racial,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,45-49,,Male,2,41353,71.0029
Diagnosed Diabetes,Not at risk,Overwweight,45-49,,Female,1,16888,28.9971
Diagnosed Diabetes,Not at risk,Overwweight,45-49,,,3,58241,100
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Mexican American,Male,2,52904,10.9007
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Mexican American,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Mexican American,,2,52904,10.9007
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Other Hispanic,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Other Hispanic,Female,2,31819,6.5562
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Other Hispanic,,2,31819,6.5562
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic White,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic White,Female,2,280732,57.844
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic White,,2,280732,57.844
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic Black,Male,4,93903,19.3484
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic Black,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic Black,,4,93903,19.3484
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic Asian,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic Asian,Female,1,25968,5.3507
Diagnosed Diabetes,Not at risk,Overwweight,50-54,NonHispanic Asian,,1,25968,5.3507
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Other Race Including Multi Racial,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Other Race Including Multi Racial,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,50-54,Other Race Including Multi Racial,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,50-54,,Male,6,146807,30.2491
Diagnosed Diabetes,Not at risk,Overwweight,50-54,,Female,5,338519,69.7509
Diagnosed Diabetes,Not at risk,Overwweight,50-54,,,11,485326,100
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Mexican American,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Mexican American,Female,2,29956,7.4976
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Mexican American,,2,29956,7.4976
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Other Hispanic,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Other Hispanic,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Other Hispanic,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic White,Male,2,303039,75.8457
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic White,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic White,,2,303039,75.8457
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic Black,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic Black,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic Black,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic Asian,Male,1,14228,3.5609
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic Asian,Female,1,16901,4.23
Diagnosed Diabetes,Not at risk,Overwweight,55-59,NonHispanic Asian,,2,31128,7.7909
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Other Race Including Multi Racial,Male,1,35423,8.8659
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Other Race Including Multi Racial,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,55-59,Other Race Including Multi Racial,,1,35423,8.8659
Diagnosed Diabetes,Not at risk,Overwweight,55-59,,Male,4,352690,88.2724
Diagnosed Diabetes,Not at risk,Overwweight,55-59,,Female,3,46857,11.7276
Diagnosed Diabetes,Not at risk,Overwweight,55-59,,,7,399547,100
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Mexican American,Male,1,7739,4.1605
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Mexican American,Female,3,27538,14.8044
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Mexican American,,4,35277,18.9649
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Other Hispanic,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Other Hispanic,Female,1,8532,4.587
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Other Hispanic,,1,8532,4.587
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic White,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic White,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic White,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic Black,Male,2,26255,14.1145
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic Black,Female,1,25888,13.9175
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic Black,,3,52143,28.032
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic Asian,Male,4,90059,48.4161
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic Asian,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,60-64,NonHispanic Asian,,4,90059,48.4161
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Other Race Including Multi Racial,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Other Race Including Multi Racial,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,60-64,Other Race Including Multi Racial,,0,,
Diagnosed Diabetes,Not at risk,Overwweight,60-64,,Male,7,124053,66.6911
Diagnosed Diabetes,Not at risk,Overwweight,60-64,,Female,5,61958,33.3089
Diagnosed Diabetes,Not at risk,Overwweight,60-64,,,12,186011,100
Diagnosed Diabetes,Not at risk,Overwweight,65-70,Mexican American,Male,2,22780,7.1733
Diagnosed Diabetes,Not at risk,Overwweight,65-70,Mexican American,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,65-70,Mexican American,,2,22780,7.1733
Diagnosed Diabetes,Not at risk,Overwweight,65-70,Other Hispanic,Male,2,18422,5.8011
Diagnosed Diabetes,Not at risk,Overwweight,65-70,Other Hispanic,Female,1,8580,2.7018
Diagnosed Diabetes,Not at risk,Overwweight,65-70,Other Hispanic,,3,27002,8.5028
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic White,Male,0,,
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic White,Female,1,41995,13.2237
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic White,,1,41995,13.2237
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic Black,Male,3,51668,16.2697
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic Black,Female,0,,
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic Black,,3,51668,16.2697
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic Asian,Male,5,108907,34.294
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic Asian,Female,3,65217,20.5364
Diagnosed Diabetes,Not at risk,Overwweight,65-70,NonHispanic Asian,,8,174125,54.8304
Diagnosed Diabetes,Not at risk,Overwweight,65-70,Other Race Including Multi Racial,Male,0,,
