DMRisk,DMStatus,RaceEthnicity,Frequency,Population,PercentTotal,PercentRaceEth,PercentRisk
Total,Undiagnosed Diabetes,NonHispanic Black,38,800728,0.25%,2.12%,0.25%
Total,Undiagnosed Prediabetes,NonHispanic Black,336,7097421,2.24%,18.79%,2.24%
Total,Healthy,NonHispanic Black,1381,23782501,7.51%,62.98%,7.51%
Total,Total,NonHispanic Black,2052,37763319,11.93%,100.00%,11.93%
Total,Diagnosed Diabetes,NonHispanic White,213,14878041,4.70%,7.75%,4.70%
Total,Diagnosed Prediabetes,NonHispanic White,157,13567083,4.29%,7.07%,4.29%
Total,Undiagnosed Diabetes,NonHispanic White,25,1871365,0.59%,0.98%,0.59%
Total,Undiagnosed Prediabetes,NonHispanic White,318,23364635,7.38%,12.18%,7.38%
Total,Healthy,NonHispanic White,2235,138186319,43.66%,72.02%,43.66%
Total,Total,NonHispanic White,2948,191867443,60.63%,100.00%,60.63%
Total,Diagnosed Diabetes,Other Hispanic,119,1768970,0.56%,7.91%,0.56%
Total,Diagnosed Prediabetes,Other Hispanic,73,1348811,0.43%,6.03%,0.43%
Total,Undiagnosed Diabetes,Other Hispanic,18,328590,0.10%,1.47%,0.10%
Total,Undiagnosed Prediabetes,Other Hispanic,154,2717999,0.86%,12.16%,0.86%
Total,Healthy,Other Hispanic,868,16187480,5.11%,72.42%,5.11%
Total,Total,Other Hispanic,1232,22351850,7.06%,100.00%,7.06%
Total,Diagnosed Diabetes,Other Race Including Multi Racial,27,1141729,0.36%,8.48%,0.36%
Total,Diagnosed Prediabetes,Other Race Including Multi Racial,28,1275739,0.40%,9.48%,0.40%
Total,Undiagnosed Diabetes,Other Race Including Multi Racial,4,132948,0.04%,0.99%,0.04%
Total,Undiagnosed Prediabetes,Other Race Including Multi Racial,36,1418836,0.45%,10.54%,0.45%
Total,Healthy,Other Race Including Multi Racial,394,9489142,3.00%,70.51%,3.00%
Total,Total,Other Race Including Multi Racial,489,13458394,4.25%,100.00%,4.25%
Total,Diagnosed Diabetes,Total,820,26191401,8.28%,8.28%,8.28%
Total,Diagnosed Prediabetes,Total,497,21220053,6.70%,6.70%,6.70%
Total,Undiagnosed Diabetes,Total,134,4085155,1.29%,1.29%,1.29%
Total,Undiagnosed Prediabetes,Total,1179,41438648,13.09%,13.09%,13.09%
Total,Healthy,Total,6914,223545787,70.63%,70.63%,70.63%
Total,Total,Total,9544,316481044,100.00%,100.00%,100.00%
